system   D            wsystem.c:583  maybe_parent_dir                 [   0.00066] Also searching C:\Users\f.gavioli\Desktop\ProgettoQuinta\ThreadTest\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00090] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00092] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00351] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.01676] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.01682] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.01702] added dtor for object 00A06680, func 5D0D24D2
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.01736] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.01737] al_display=00A068C8
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.01738] al_display->vt=00A06800
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.02483] found 96 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.02487] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02488] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02489] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02490] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02491] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02492] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02493] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02494] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02495] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02496] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02497] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02498] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02499] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02501] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02501] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02503] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02504] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02505] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02506] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02507] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02508] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02509] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02521] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02523] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02524] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02525] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02526] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02527] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02528] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02529] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02530] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02531] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02532] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02533] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02534] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02535] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02536] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02538] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02538] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02540] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02541] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02542] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02543] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02544] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02545] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02546] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02547] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02548] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02549] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02550] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02551] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02561] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02563] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02564] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02567] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02568] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02569] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02570] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02571] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02573] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02574] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02575] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02576] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02577] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02578] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02579] Single Buffer requirement not met.
